gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante;centre_type
576;Centre de vaccination Cherbourg-en-Cotentin : Salles des fêtes - place centrale;;0.99999998144779;50203_0130;;;50110;50129;Cherbourg-en-Cotentin;49.6213;-1.61351;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;11533;2021-04-07 14:29:49.010388;;;;;;;;;t;;2021-01-18;https://vaccination-covid.keldoc.com/cabinet-medical/cherbourg-octeville-50100/cpts-nord-cotentin?motive=81940&category=-1&cabinet=16689&specialty=496;+33279461156;;;;;;;{}
2650;Centre de vaccination Intercommunal Montesquieu - La Brède;;0.99999989675485;33213_0106_00004;4;Avenue Charles de Gaulle;33650;33213;La Brède;44.682;-0.526891;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;21419;21419;2021-05-31 09:36:17.488379;;fermé;09:00-12:00/14:00-18:00;13:00-20:00;13:00-20:00;09:00-12:00/14:00-18:00;09:00-12:30;fermé;t;;2021-06-08;;;;;t;;t;f;
1220;Centre de vaccination - Centre de soins non programmés - Ville d'Andrézieux-Bouthéon;;0.99999991765947;42005_0620_00012;14;Rue Claude Limousin;42160;42005;Andrézieux-Bouthéon;45.526;4.25364;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;18075;18236;2021-05-31 20:00:03.035377;;12:00-17:00;12:00-17:00;12:00-17:00;12:00-17:00;12:00-17:00;fermé;fermé;;;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/andrezieux-boutheon/centre-de-vaccination-covid-19-andrezieux-boutheon?pid=practice-165752&enable_cookies_consent=1;+33477557093;;ouverture du standard pour la prise de rendez vous = 9h-16h ;;;;;"{""Séc. Civ. concourant""}"
1425;Foyer des jeunes AUPS;;0.99999951368662;83007_0399;;Place Frédéric MISTRAL;83630;83007;Aups;43.6271;6.2244;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;DE PARIS BD;13003;13203;MARSEILLE 3;10366;10366;2021-05-31 20:00:03.153877;;fermé;11h00 - 16h00;11h00 - 16h00;11h00 - 16h00;fermé;fermé;fermé;t;;2021-02-08;https://partners.doctolib.fr/centre-de-vaccinations-internationales/toulon/centre-de-vaccination-covid-19-du-var?pid=practice-170083&enable_cookies_consent=1;04.94.70.96.53;;;;;;f;"{""Sécurité Civile""}"
2180;Centre de vaccination - Commune de Masnières, Salle du Bicentenaire;;0.99999994603628;59389_0300_00002;;Place Jacques-Duclos;59241;59389;Masnières;50.1141;3.21031;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-05-31 20:00:03.469929;;fermé;fermé;fermé;fermé;fermé;;;;;2021-03-27;https://partners.doctolib.fr/maison-de-sante/gouzeaucourt/mobile?pid=practice-177065&enable_cookies_consent=1;;;;;;;;{}
1438;DOL DE BGNE-Club de l'amitié;;0.99999998146858;35095_0530_00019;21;Rue Eléonor Daubrée;35120;35095;Dol-de-Bretagne;48.5495;-1.74728;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;DES COLOMBES PL;35000;35238;RENNES;18078;18078;2021-05-31 20:00:03.16295;;fermé;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;fermé;fermé;;;2021-02-22;https://partners.doctolib.fr/centre-de-sante/dol-de-bretagne/centre-de-vaccination-dol-de-bretagne?pid=practice-165293&enable_cookies_consent=1;+33805690821;;;;;;;{}
2531;UHSI Lille;;0.99999434453386;59350_6513_00005;5;Avenue Oscar Lambret;59000;59350;Lille;50.61;3.03764;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;21506;21506;2021-05-05 13:32:34.933811;590780193;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;;;;t;;{UHSI}
428;CH Ploërmel;;0.99999922797173;56165_0321_00007;7;Rue du Roi Arthur - Bâtiment Le Cloitre;56800;56165;Ploërmel;47.9347;-2.39222;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18078;18;2021-05-31 20:00:02.503457;;14h-19h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-17h;fermé;;;2021-01-21;https://partners.doctolib.fr/hopital-public/ploermel/ghba-centre-de-vaccination-covid-ploermel?pid=practice-163739&enable_cookies_consent=1;+33297019956;;;;;;;{}
1077;Plaine orientale Sud;;0.99999873732983;2b251_b269;;Ancienne Pharmacie Taddei Migliacciaru;20243;2B251;Prunelli-di-Fiumorbo;42.0107;9.32479;130007990;8412Z;AGENCE REGIONALE DE SANTE DE CORSE;;QUA SAINT JOSEPH;20090;2A004;AJACCIO;12661;12661;2021-05-31 20:00:02.93232;;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;09:00-12:00/15:00-18:00;fermé;fermé;t;;2021-01-20;https://partners.doctolib.fr/centre-de-sante/prunelli-di-fiumorbo/centre-de-vaccination-covid-prunelli-prunelli-di-fiumorbo?speciality_id=5494&enable_cookies_consent=1;+33495376355;;;t;;;;{}
1439;BAIN DE BGNE-La Croix Rouge;;0.99999821347224;35012_b127_00013;75;La Croix Rouge;35470;35012;Bain-de-Bretagne;47.831;-1.68564;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;DES COLOMBES PL;35000;35238;RENNES;18078;18078;2021-02-22 11:00:01.715655;;fermé;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;fermé;fermé;;;2021-02-22;https://vaccination-covid.keldoc.com/cabinet-medical/bain-de-bretagne-35470/salle-des-fetes-de-bain-de-bretagne/centre-de-vaccination-de-la-salle-des-fetes-de-bain-de-bretagne;+33805690821;;;;;;;{}
